spotify_id,artist_name,event_date,venue_name,venue_city,venue_country,event_url,ticket_url,ticket_status,start_time,timezone
0nFdWpwl7h6fp3ADRyG14L,Marina Sena,2025-05-17,Circo Voador,Rio de Janeiro,Brazil,https://www.bandsintown.com/e/1035090644-marina-sena-at-circo-voador?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1035090644-marina-sena-at-circo-voador?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2025-05-17T20:00:00,America/Sao_Paulo
0nFdWpwl7h6fp3ADRyG14L,Marina Sena,2025-05-16,Circo Voador,Rio de Janeiro,Brazil,https://www.bandsintown.com/e/1035089908-marina-sena-at-circo-voador?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1035089908-marina-sena-at-circo-voador?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2025-05-16T20:00:00,America/Sao_Paulo
0nFdWpwl7h6fp3ADRyG14L,Marina Sena,2025-04-26,Espaço Unimed,São Paulo,Brazil,https://www.bandsintown.com/e/1034842442-marina-sena-at-espaco-unimed?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1034842442-marina-sena-at-espaco-unimed?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2025-04-26T21:00:00,America/Sao_Paulo
0nFdWpwl7h6fp3ADRyG14L,Marina Sena,2024-10-13,Circo Voador,Rio de Janeiro,Brazil,https://www.bandsintown.com/e/1032732299-marina-sena-at-circo-voador?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1032732299-marina-sena-at-circo-voador?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2024-10-13T19:00:00,America/Sao_Paulo
0nFdWpwl7h6fp3ADRyG14L,Marina Sena,2024-10-12,Circo Voador,Rio de Janeiro,Brazil,https://www.bandsintown.com/e/1032732398-marina-sena-at-circo-voador?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1032732398-marina-sena-at-circo-voador?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2024-10-12T20:00:00,America/Sao_Paulo
0nFdWpwl7h6fp3ADRyG14L,Marina Sena,2024-08-2,Sono Hotel,Brno-město,Czechia,https://www.bandsintown.com/e/1031742310-marina-sena-at-sono-hotel?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1031742310-marina-sena-at-sono-hotel?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2024-08-02T19:30:00,Europe/Prague
0nFdWpwl7h6fp3ADRyG14L,Marina Sena,2024-07-31,Gretchen,Berlin,Germany,https://www.bandsintown.com/e/1031918553-marina-sena-at-gretchen?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1031918553-marina-sena-at-gretchen?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2024-07-31T19:30:00,Europe/Berlin
0nFdWpwl7h6fp3ADRyG14L,Marina Sena,2024-07-6,Mon Madrid,Madrid,Spain,https://www.bandsintown.com/e/1032127990-marina-sena-at-mon-madrid?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1032127990-marina-sena-at-mon-madrid?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2024-07-06T20:00:00,Europe/Madrid
0nFdWpwl7h6fp3ADRyG14L,Marina Sena,2024-06-30,The Jazz Cafe,London,United Kingdom,https://www.bandsintown.com/e/1031409299-marina-sena-at-the-jazz-cafe?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1031409299-marina-sena-at-the-jazz-cafe?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2024-06-30T19:00:00,Europe/London
0nFdWpwl7h6fp3ADRyG14L,Marina Sena,2024-06-29,The Sugar Club,Dublin,Ireland,https://www.bandsintown.com/e/1031394285-marina-sena-at-the-sugar-club?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1031394285-marina-sena-at-the-sugar-club?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2024-06-29T19:30:00,Europe/Dublin
