artist_name,spotify_id,musicbrainz_id,popularity,followers,genres,image_url,spotify_url,artist_type,gender,country
Bad Bunny,4q3ewBCX7sLwd24euuV69X,89aa5ecb-59ad-46f5-b3eb-2d424e941f19,100,95940725,"Reggaeton, Trap Latino, Urbano Latino, Latin",https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,Artista,Male,PR
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,650e7db6-b795-4eb5-a702-5ea2fc46c848,94,38215960,"Art Pop, Pop",https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,Artista,Female,US
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,93,71977815,"Pop, R&B, Funk",https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C,Artista,Male,US
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,6925db17-f35e-42f3-a4eb-84ee6bf5d4b0,88,45954142,"Pop Rock, Alternative Pop",https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4,https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG,Artista,Female,US
Kali Uchis,1U1el3k54VvEUzo3ybLPlM,d0c7656d-8169-4f77-9dbe-b8f24e40105d,88,8899842,"R&B, Neo-Soul, Latin",https://i.scdn.co/image/ab6761610000e5eb51dfdac248da65a860963b68,https://open.spotify.com/artist/1U1el3k54VvEUzo3ybLPlM,Artista,Female,US
Tame Impala,5INjqkS1o8h1imAzPqGZBb,63aa26c3-d59b-4da4-84ac-716b54f1ef4d,82,8880098,"Neo-Psychedelic, Indie",https://i.scdn.co/image/ab6761610000e5eb90357ef28b3a012a1d1b2fa2,https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb,Artista,Male,AU
Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,e0e1db18-f7ba-4dee-95ff-7ae8cf545460,80,7534562,"Hip Hop, Alternative Hip Hop",https://i.scdn.co/image/ab6761610000e5eb5f00bb6dd7a7008d14156630,https://open.spotify.com/artist/0fA0VVWsXO9YnASrzqfmYu,Artista,Male,US
Sade,47zz7sob9NUcODy0BTDvKx,67930b3e-e00b-469f-8c74-fd69f20522ec,78,4743366,"Smooth Jazz, Soul, R&B",https://i.scdn.co/image/ab6761610000e5eb92883b0e094a36d2f43ad284,https://open.spotify.com/artist/47zz7sob9NUcODy0BTDvKx,Banda,Banda,GB
Roddy Ricch,757aE44tKEUQEqRuT6GnEB,5721c227-4caf-48b1-bbfc-1a4ed3276963,77,11466700,Melodic Rap,https://i.scdn.co/image/ab6761610000e5eb88d7900663b237167c4be332,https://open.spotify.com/artist/757aE44tKEUQEqRuT6GnEB,Artista,Male,US
Major Lazer,738wLrAtLtCtFOLvQBXOXp,75be165a-ad83-4d12-bd28-f589a15c479f,77,6287450,Moombahton,https://i.scdn.co/image/ab6761610000e5eb133f44ab343b35c715a4ac97,https://open.spotify.com/artist/738wLrAtLtCtFOLvQBXOXp,Banda,Banda,JM
Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,d02dd67e-f655-4600-bc47-f789f59e7367,77,2662812,"Hip Hop, Neo-Soul, R&B",https://i.scdn.co/image/ab6761610000e5eb96287bd47570ff13f0c01496,https://open.spotify.com/artist/3jK9MiCrA42lLAdMGUZpwa,Artista,Male,US
Ludmilla,3CDoRporvSjdzTrm99a3gi,cf71e106-1003-4390-8477-cf268229df66,75,8126620,"Pagode, Brazilian Pop, Funk Pop, Pagode Baiano, Funk, Funk Carioca, Samba",https://i.scdn.co/image/ab6761610000e5ebc171639017f673a5ecfb92f3,https://open.spotify.com/artist/3CDoRporvSjdzTrm99a3gi,Artista,Female,BR
C. Tangana,5TYxZTjIPqKM8K8NuP9woO,46d3689c-23e6-46f7-8ad6-c12f13ac9dea,75,2992289,"Latin Trap, Spanish Hip Hop",https://i.scdn.co/image/ab6761610000e5ebdfb9d2cb6a43021d9002a10e,https://open.spotify.com/artist/5TYxZTjIPqKM8K8NuP9woO,Artista,Male,ES
Boney M.,54R6Y0I7jGUCveDTtI21nb,5403bf6e-bc1d-4e62-b31f-926a2bf66a14,72,2216444,Disco,https://i.scdn.co/image/94f8fa49e6ac6748393ff020567c9b95c7f48c18,https://open.spotify.com/artist/54R6Y0I7jGUCveDTtI21nb,Banda,Banda,DE
Marina Sena,0nFdWpwl7h6fp3ADRyG14L,2b1e7c27-2663-43df-9c23-8601e173e6ef,72,536958,"Brazilian Pop, Nova Mpb",https://i.scdn.co/image/ab6761610000e5eb5dc46cd89751c5b6ab34d210,https://open.spotify.com/artist/0nFdWpwl7h6fp3ADRyG14L,Artista,Female,BR
Pabllo Vittar,6tzRZ39aZlNqlUzQlkuhDV,d9550ac2-7bcf-4655-a3fe-24922e254a74,71,4362549,"Brazilian Pop, Funk Pop, Tecnobrega",https://i.scdn.co/image/ab6761610000e5eb1bd98f890c7df79547160c27,https://open.spotify.com/artist/6tzRZ39aZlNqlUzQlkuhDV,Artista,Non-binary,BR
