spotify_id,related_artist_id,related_artist_name,related_artist_popularity,related_artist_genres
6pD1GWScIkaJ5dTBvfNCdu,0FW6guSeedXBXOd8AK63Xp,Matheus Souto,3,nova mpb
6pD1GWScIkaJ5dTBvfNCdu,7dlecciTOgIvNzb7XiJoeK,Sobrado 112,4,nova mpb
6pD1GWScIkaJ5dTBvfNCdu,7790anuah8A1XSEIGygFXJ,Gudicarmas,3,nova mpb
6pD1GWScIkaJ5dTBvfNCdu,30FnGDXd0v2Nwm91p40DSc,Baltazar,1,nova mpb
6pD1GWScIkaJ5dTBvfNCdu,6fqyMTwZssflhhpwA4QEfJ,Guantánamo Groove,4,acid rock
6pD1GWScIkaJ5dTBvfNCdu,2QTqlp1O4x5QPZ6WJ9cWHI,Mão de Oito,2,nova mpb
6pD1GWScIkaJ5dTBvfNCdu,5R9l9djcD1vMJ1OKdP4DM9,Kalu,2,nova mpb
6pD1GWScIkaJ5dTBvfNCdu,5n9dUhwbbTGYqrYAdinYWY,Chico Salem,4,nova mpb
6pD1GWScIkaJ5dTBvfNCdu,6yWCNnf78WtB7S4pIPUcgS,Sala Espacial,5,nova mpb
6pD1GWScIkaJ5dTBvfNCdu,0CAEBh0sXMjIQVVMegbyaj,Caapora,1,nova mpb
6pD1GWScIkaJ5dTBvfNCdu,7l8Ij2AmcMZl89DXnCCSHc,Miranda Kassin & Andre Frateschi,4,nova mpb
6pD1GWScIkaJ5dTBvfNCdu,3uymezuiIhyOdnuBpPAiVz,Bandavoou,6,nova mpb
6pD1GWScIkaJ5dTBvfNCdu,0RGVUbCpsZUwDKUu0irgzL,Matheus Torreão,1,nova mpb
6pD1GWScIkaJ5dTBvfNCdu,5oNa3KriA2WNeCHEiV57c9,Viva La Burla,0,nova mpb
6pD1GWScIkaJ5dTBvfNCdu,38w3S0YPYqnZaXmnHUSuln,Wado & Realismo Fantástico,2,nova mpb
6pD1GWScIkaJ5dTBvfNCdu,7fwI38aKsSxJHF1WFZn9LQ,Ronei Jorge,8,nova mpb
6pD1GWScIkaJ5dTBvfNCdu,0wrYXqu2VjPoLYgcqfQLOa,Cabeça Óca,0,nova mpb
6pD1GWScIkaJ5dTBvfNCdu,1wkaeu06n1SxeNvz72FMFc,Subtropicais,0,nova mpb
6pD1GWScIkaJ5dTBvfNCdu,2iqhIs0fmyqK1Qi3WaErO7,Banda Gentileza,3,nova mpb
6pD1GWScIkaJ5dTBvfNCdu,0RMCmByAAPYvoCwvKwdHNa,Coronel Pacheco,1,nova mpb
6syQjkQSMIrzw5cFnNRheo,1VJZvjGu80pBwk0qeJz8ZR,Drik Barbosa,40,brazilian hip hop
6syQjkQSMIrzw5cFnNRheo,6aCbXH85qN6xo54C7atSMx,Black Alien,61,"brazilian hip hop, boom bap"
6syQjkQSMIrzw5cFnNRheo,6U98XWjrUPnPtPBjEprDmu,Don L,53,"brazilian hip hop, boom bap"
6syQjkQSMIrzw5cFnNRheo,0fMjaafeNhHPA6mJ5ZglAJ,Mano Brown,54,brazilian hip hop
6syQjkQSMIrzw5cFnNRheo,5WgRuO0mhM36NFoapzpWBH,Rashid,51,brazilian hip hop
6syQjkQSMIrzw5cFnNRheo,4oE4ASN8auDhoW9vsXp3VJ,Mv Bill,52,brazilian hip hop
6syQjkQSMIrzw5cFnNRheo,4ADw50fLamm1eoQBm65lHL,Dj Cia,49,brazilian hip hop
6syQjkQSMIrzw5cFnNRheo,6vA4znwvrwhCSYfcrkC2Hg,Lino Krizz,45,"brazilian hip hop, boom bap"
6syQjkQSMIrzw5cFnNRheo,064WxKBb5PxUQpy6NGr3Jq,Juyè,49,brazilian hip hop
6syQjkQSMIrzw5cFnNRheo,5h4q1RQZ3TrsU4fImHo11r,Vandal,36,brazilian hip hop
6syQjkQSMIrzw5cFnNRheo,6XQrv3AiNUS61JFK1VITTU,Jean Tassy,57,"brazilian hip hop, boom bap"
6syQjkQSMIrzw5cFnNRheo,5YXT5F24Ljk9YOXg32x93j,Dbs Gordão Chefe,50,brazilian hip hop
6syQjkQSMIrzw5cFnNRheo,4E18TGN1tOs6QTHAOupZgV,Helião,37,brazilian hip hop
6syQjkQSMIrzw5cFnNRheo,2sxBXOW6WrpuO6rXZ3kHtE,Hot e Oreia,38,brazilian hip hop
6syQjkQSMIrzw5cFnNRheo,0473TlzNowswPtN7v5U4Pb,Oreia,35,brazilian hip hop
6syQjkQSMIrzw5cFnNRheo,0Ludmn78UAusTsNCXgICrN,Fabio Brazza,55,"brazilian hip hop, boom bap"
6syQjkQSMIrzw5cFnNRheo,2d9LRvQJnAXRijqIJDDs2K,Emicida,62,"brazilian hip hop, nova mpb"
6syQjkQSMIrzw5cFnNRheo,53iGNetIf91uZx4Jb54cgb,Haikaiss,55,brazilian hip hop
6syQjkQSMIrzw5cFnNRheo,7CDNHcDbOQU1gK1OxjZlcC,Iuri Rio Branco,54,brazilian hip hop
6syQjkQSMIrzw5cFnNRheo,37ZflmHTdxkSLQuT8w9NBs,Criolo,59,"brazilian hip hop, nova mpb, mpb, samba"
30qZQIUjlWSlqBK3F0xP2v,7dtjhTXpBQ4cCf2GPLG6Qo,Lia de Itamaracá,33,axé
30qZQIUjlWSlqBK3F0xP2v,7jAfLX4HabQYnPHXcL6ZPy,Comadre Florzinha,26,forró
30qZQIUjlWSlqBK3F0xP2v,7tG10EtbqdrbeGVFEIcPlg,Goma-laca,23,"brazilian jazz, axé"
30qZQIUjlWSlqBK3F0xP2v,5WXF5iVkipqMf040fK4O9Q,Samba de Coco Raizes de Arcoverde,25,mpb
30qZQIUjlWSlqBK3F0xP2v,20mYxqynNGZHm0qZAzCNEP,Cila do Coco,27,regional
30qZQIUjlWSlqBK3F0xP2v,509HeWjNC92PZZnsKCBfxE,Dona Selma,23,mpb
30qZQIUjlWSlqBK3F0xP2v,4O0fKo5SJeqySbOXgWyhm0,Lenna Bahule,26,mpb
30qZQIUjlWSlqBK3F0xP2v,40w3aT7hSPv2aQVAQXT68m,Juçara Marçal e Kiko Dinucci,33,"axé, nova mpb"
30qZQIUjlWSlqBK3F0xP2v,5Niazs4Q5CWc74ygGVUYY8,Pastoras do Rosário,36,traditional folk
30qZQIUjlWSlqBK3F0xP2v,5TJgNKOEi4e4i8RL77wQ80,Kiko Dinucci,31,"axé, nova mpb"
30qZQIUjlWSlqBK3F0xP2v,7dzhoOPaRFY9SXSD9cjz0U,Virgínia Rodrigues,26,mpb
30qZQIUjlWSlqBK3F0xP2v,6RvtIoZAX7XyMEdd5WlG2L,As Ganhadeiras de Itapuã,23,axé
30qZQIUjlWSlqBK3F0xP2v,1MN08azcni9fuSEHPTl8hy,Chinelo de Couro,25,"forró, nova mpb"
30qZQIUjlWSlqBK3F0xP2v,7slyxzwxcPuyoCPRnimdxH,Isaar,25,mpb
30qZQIUjlWSlqBK3F0xP2v,28tBt9Tp6wBVDR7MRtbU1n,Ponto Br,29,axé
30qZQIUjlWSlqBK3F0xP2v,2jFTnLqRNwEKZ09BtC7kJE,Pandeiro do Mestre,25,mpb
30qZQIUjlWSlqBK3F0xP2v,2wFdMI4XhoSczBqkoLmzrz,Tião Carvalho,29,forró
30qZQIUjlWSlqBK3F0xP2v,78zrcYeAIou4XXyCyc7r8U,Tatá Aeroplano,29,"axé, nova mpb"
30qZQIUjlWSlqBK3F0xP2v,2Xgh3UMlVReiRdvCELwiK9,Tiganá Santana,34,"nova mpb, brazilian jazz"
30qZQIUjlWSlqBK3F0xP2v,64HjM2ygOWB4cPefNleBaM,Camila Costa,18,axé
4KyZtyl55zzHoBJUp07Doe,1gIa65d5ICT2xVWiUJ3u27,Tom Zé,45,mpb
4KyZtyl55zzHoBJUp07Doe,6J3woQCTe8Tk7APW7vjy4H,Los Sebosos Postizos,45,nova mpb
4KyZtyl55zzHoBJUp07Doe,4gKqxjR0MkEKjqvO3Ctvpg,Os Originais do Samba,48,"samba, pagode"
4KyZtyl55zzHoBJUp07Doe,1W1k6LUPDR0l4zwvKR4YLI,Curumin,43,nova mpb
4KyZtyl55zzHoBJUp07Doe,6we2u0wHu4S9H6A1LVZ6LA,Antonio Carlos & Jocafi,46,"samba, mpb, nova mpb"
4KyZtyl55zzHoBJUp07Doe,2ig041GcPcddsLoeUWpcJ0,Douglas Germano,40,"nova mpb, samba, bossa nova"
4KyZtyl55zzHoBJUp07Doe,6IyBL2HQ7NB6V6xqgl3jBg,Jorge Mautner,38,mpb
4KyZtyl55zzHoBJUp07Doe,5nriuBVz6NDh6k8gTU5WgP,Trio Mocoto,56,"samba, brazilian jazz, bossa nova"
4KyZtyl55zzHoBJUp07Doe,2rnJUBfFhgXBrywGEQ8zC7,Os Tincoãs,46,"axé, samba"
4KyZtyl55zzHoBJUp07Doe,2ohBjgFT9V0LRDWO2wF9DJ,Novos Baianos,53,"mpb, samba, bossa nova"
4KyZtyl55zzHoBJUp07Doe,1E5pLahwa4lUHQxHFlfkg5,Claudya,46,"bossa nova, mpb, brazilian jazz"
4KyZtyl55zzHoBJUp07Doe,5VfKi2uYyP2DCi1JXQ2fX5,Nelson Cavaquinho,40,"samba, mpb"
4KyZtyl55zzHoBJUp07Doe,6HnFUvKuOXAxQBT7GI99yZ,Toni Tornado,28,mpb
4KyZtyl55zzHoBJUp07Doe,6DqFCzjARUV3xH9meu3Bya,Wilson Simonal,48,"mpb, samba, bossa nova"
4KyZtyl55zzHoBJUp07Doe,0ejC7uoHm9rW22mjbLpDgY,Hyldon,42,mpb
4KyZtyl55zzHoBJUp07Doe,60nL5yXKnZlC4wheEmmBoO,Banda Eddie,39,nova mpb
4KyZtyl55zzHoBJUp07Doe,6u5P4S3NSj4EDNegDlOevO,Edu Lobo,42,"bossa nova, brazilian jazz, mpb"
4KyZtyl55zzHoBJUp07Doe,7gzt0XQqJZMEOtU5TIErKe,Itamar Assumpção,37,"avant-garde, mpb"
4KyZtyl55zzHoBJUp07Doe,5JYtpnUKxAzXfHEYpOeeit,Jorge Ben Jor,65,"mpb, bossa nova, samba, brazilian jazz"
4KyZtyl55zzHoBJUp07Doe,4Rgs2uEA4ZPVrfSGTcFvVm,Russo Passapusso,38,nova mpb
02MYQC9MXXfOcrIwvc4dIS,5vT7ECMShlQq75mLCFtw9t,Toni Ferreira,16,"nova mpb, mpb"
02MYQC9MXXfOcrIwvc4dIS,1ZJFcTAodqSHNc5EtOL9YG,Paulo Vieira,15,nova mpb
02MYQC9MXXfOcrIwvc4dIS,2Otm1s8jSf4zRSjBdg3uAZ,Elisa Fernandes,17,"nova mpb, samba, mpb"
02MYQC9MXXfOcrIwvc4dIS,5JUUqMr35eHGJHi9W8thlo,Paulo Rafael,24,mpb
02MYQC9MXXfOcrIwvc4dIS,2bZsx7p63PUIuq84FOY8Rf,Vinícius Calderoni,31,"nova mpb, mpb"
02MYQC9MXXfOcrIwvc4dIS,4enkj7NOHAaVi7l7PkQiTg,Martins,38,"nova mpb, mpb"
02MYQC9MXXfOcrIwvc4dIS,1tTqJwIDhSkWuFsME8jaro,Marcelo Costa,18,"nova mpb, mpb"
02MYQC9MXXfOcrIwvc4dIS,0CnYTlcwb3tBVt7S9F4xg8,Leo Fressato,28,nova mpb
02MYQC9MXXfOcrIwvc4dIS,3l3eZFYFMG9HsQI1qd5pDj,Leo Bianchini,30,"nova mpb, mpb"
02MYQC9MXXfOcrIwvc4dIS,2vUiaClMU8uFATuSX94A6o,Pedro Viáfora,39,"nova mpb, mpb"
02MYQC9MXXfOcrIwvc4dIS,7qfp2YUHGZ6mgcJzk4iMIP,Cézar Mendes,23,mpb
02MYQC9MXXfOcrIwvc4dIS,5l962QqiKtDWXYqjbpJ3qZ,César Lacerda,23,"nova mpb, mpb"
02MYQC9MXXfOcrIwvc4dIS,7mLy1fgM7cmou0c9Cl6hhz,Beraderos,29,"nova mpb, mpb"
02MYQC9MXXfOcrIwvc4dIS,724jACjbdJB5S18AqUAOQw,Lucas Mayer,31,nova mpb
02MYQC9MXXfOcrIwvc4dIS,4w4yHWFlpurx4MTWGy6cxR,Roberta Spindel,23,"mpb, nova mpb"
