album_id,spotify_id,album_name,release_date,total_tracks,type
6HLqdB01LNcoa5TrtgEsR6,2fHwMQjss3D6RfkPN0ZkwO,Megalomania,2024,13,album
55Rp2BlzyUGOCLsWlVJW37,2fHwMQjss3D6RfkPN0ZkwO,Tropical do Brasil,2025,1,single
2DEf3K3F9ugKeSpHhoRBU7,2fHwMQjss3D6RfkPN0ZkwO,Tolera Eu,2025,1,single
2X15ZYmULWbUPZWGztxJ8X,2fHwMQjss3D6RfkPN0ZkwO,Fervo 90!,2025,3,single
0jqCCeUp0kZlRavYNh52Kq,2fHwMQjss3D6RfkPN0ZkwO,LUA CHEIA (Remix),2025,1,single
23Kztdt5FJmH3Jvm1k1wNp,2fHwMQjss3D6RfkPN0ZkwO,LUA CHEIA,2025,1,single
1DFBrmr8Ulr8oLRuwfNTy0,2fHwMQjss3D6RfkPN0ZkwO,À Primeira Vista,2024,1,single
13UMBZZ9JN1VogV4KvOREP,2fHwMQjss3D6RfkPN0ZkwO,Pelo Avesso,2024,1,single
31hsFbuhZlaLCu84PaZoyH,2fHwMQjss3D6RfkPN0ZkwO,Megalomania,2024,1,single
5Q2oRLVFBIHLOy5M054AMy,2fHwMQjss3D6RfkPN0ZkwO,Gulosa,2024,1,single
2ZMN6BcprTogY2eC3Hjh6U,2fHwMQjss3D6RfkPN0ZkwO,Eu Tenho o Molho,2024,1,single
54yKiEyfTbHW7SG6ABOpn2,2fHwMQjss3D6RfkPN0ZkwO,Esquina,2024,1,single
5KE4kALM3SXFEHZuBAA0Sx,2fHwMQjss3D6RfkPN0ZkwO,Vidro Fumê (Remix),2024,1,single
3cGGvKieKWwGfqB3LJJAP0,2fHwMQjss3D6RfkPN0ZkwO,Passione,2023,1,single
79R8Ivfbp5Gz1PpvKoBVjJ,2fHwMQjss3D6RfkPN0ZkwO,Pena Que Acabou,2023,4,single
5s8ET4e3AxTXSQDHtVRnHi,2fHwMQjss3D6RfkPN0ZkwO,Se Você Não Me Queria,2023,1,single
0tui6HWVGM6NNqkvRMWTJa,2fHwMQjss3D6RfkPN0ZkwO,Facin,2023,1,single
